@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {511_interviewer_train,108_subset_train}

@DATA
0.090895,0.015082,3.210237,0.148772,0.155135,0.951401,0.006944,0.155000,-24.274752,2.133379,-0.974063,0.733235,0.138782,-0.397072,0.031966,-0.531571,0.340823,-0.028021,0.017415,-0.095153,0.031470,0.032796,0.001406,0.025745,0.002722,0.006836,0.010804,0.022922,0.002658,0.006156,0.011390,0.056998,0.005139,0.018885,0.013922,0.010262,0.152645,0.018943,0.017473,0.257494,0.003971,0.025830,1.060060,0.449897,0.431142,0.293237,0.163882,0.264709,0.218302,0.234356,0.258867,0.137603,0.129058,0.299834,0.225716,0.018352,0.001144,0.013063,0.002337,0.006675,0.008599,0.025669,0.001998,0.006357,0.008122,0.024635,0.004158,0.006823,511_interviewer_train
0.098561,0.024447,2.976560,0.176071,0.182498,0.834076,0.007941,0.194031,-23.416121,2.215938,0.116335,-0.400037,-0.598931,-0.030012,-0.151534,-0.086304,-0.244276,-0.087760,-0.042205,0.115795,-0.123993,0.019630,0.005359,0.024943,0.015365,0.023944,0.015024,0.029091,0.001556,0.017530,0.009793,0.031458,0.014216,0.017931,0.032790,0.016456,0.202040,0.034341,0.035092,0.314695,0.002791,0.100222,1.058732,0.450134,0.324683,0.484659,0.409709,0.422393,0.303285,0.223229,0.287349,0.209035,0.249647,0.218442,0.246445,0.014522,0.005639,0.020478,0.011167,0.022807,0.008036,0.018827,0.001459,0.018472,0.007944,0.026655,0.012874,0.007634,511_interviewer_train
0.057183,0.064780,3.228250,0.131001,0.163498,0.516335,0.007148,0.093000,-23.327262,2.908869,-0.383716,0.049521,0.097000,-0.033194,-0.234753,-0.164902,0.008815,-0.251258,0.020400,-0.312604,-0.321862,0.124022,0.005081,0.034118,0.010327,0.007768,0.005000,0.028009,0.004779,0.009819,0.006261,0.019450,0.012618,0.039359,0.017784,0.038663,0.118070,0.027591,0.023901,0.316610,0.003906,0.040774,0.797673,0.652052,0.419075,0.300286,0.255119,0.209753,0.350828,0.296931,0.284179,0.203671,0.256995,0.204626,0.305744,0.078525,0.009113,0.020723,0.008992,0.008137,0.004910,0.022191,0.008571,0.013956,0.007353,0.022850,0.018681,0.017052,511_interviewer_train
0.066750,0.085958,3.041421,0.145671,0.175353,0.637938,0.014274,0.100417,-23.174282,2.509824,-0.877995,0.087712,-0.437274,-0.453167,-0.136281,0.113458,-0.228411,-0.004777,-0.081511,-0.301232,-0.700659,0.047968,0.005099,0.033134,0.017286,0.009191,0.008694,0.010512,0.009695,0.005391,0.003573,0.011440,0.066278,0.030505,0.016802,0.056970,0.379102,0.011791,0.011272,0.353941,0.011855,0.037650,1.769881,0.283847,0.493924,0.343748,0.507142,0.409783,0.237988,0.232076,0.201332,0.097853,0.116866,0.255239,0.330743,0.039687,0.003630,0.030694,0.013326,0.015498,0.010723,0.010669,0.014075,0.008375,0.002015,0.013291,0.077716,0.015010,511_interviewer_train
0.071214,0.075074,3.179375,0.151197,0.162377,0.822123,0.007424,0.134000,-23.135785,2.018399,-0.846757,0.776996,-0.316034,0.038795,-0.296480,-0.211490,-0.094694,-0.232032,-0.376382,-0.456243,-0.390368,0.012094,0.016924,0.145998,0.012043,0.007815,0.004245,0.012154,0.003285,0.009472,0.004160,0.008917,0.002408,0.042835,0.031231,0.039767,0.255184,0.026711,0.026710,0.498369,0.004518,0.067544,1.621243,0.693649,0.818802,0.473486,0.108575,0.264365,0.228801,0.215515,0.231444,0.250223,0.315503,0.316000,0.325934,0.009919,0.017509,0.103100,0.014422,0.006470,0.006205,0.027698,0.004165,0.010308,0.006150,0.012250,0.003194,0.025023,511_interviewer_train
0.089904,0.045216,3.064846,0.162561,0.165882,1.065399,0.012963,0.157083,-23.713750,2.057243,-1.429726,1.037129,-0.144888,-0.280549,-0.293111,-0.471355,0.275202,-0.005525,-0.434243,-0.271336,-0.225770,0.024446,0.008807,0.043160,0.012660,0.004900,0.002546,0.023977,0.001225,0.007695,0.009898,0.019379,0.037209,0.021954,0.016937,0.032459,0.386851,0.020614,0.027603,0.295070,0.009850,0.035807,1.861486,0.373381,0.660763,0.503935,0.241953,0.276986,0.177067,0.293124,0.192320,0.203882,0.299186,0.405368,0.238698,0.017142,0.008958,0.031878,0.008957,0.003605,0.002468,0.027725,0.000638,0.004660,0.009411,0.017711,0.058057,0.012740,511_interviewer_train
0.128703,0.069932,3.263218,0.172696,0.162936,1.297268,0.004099,0.212500,-21.776149,1.677050,-0.567952,0.533302,-0.107426,-0.175161,-0.294618,-0.032965,0.311915,0.050136,0.017158,-0.005341,-0.100488,0.017253,0.001318,0.014353,0.007450,0.002514,0.010282,0.021056,0.002069,0.002336,0.004382,0.070674,0.004498,0.020183,0.022568,0.016942,0.063512,0.021796,0.017035,0.294009,0.002356,0.044745,0.693229,0.541097,0.593593,0.545274,0.165242,0.260926,0.465445,0.158102,0.378267,0.192862,0.147865,0.239451,0.092397,0.007224,0.000597,0.002964,0.010294,0.001953,0.009438,0.017424,0.002049,0.002602,0.001458,0.019052,0.003150,0.002062,511_interviewer_train
0.057363,0.095106,3.097989,0.136888,0.173507,0.498426,0.007379,0.092083,-22.534430,2.661746,-0.177654,0.611082,-0.106960,0.188857,-0.313503,-0.317849,-0.221389,-0.318129,-0.253066,-0.103914,-0.420893,0.017295,0.001582,0.149142,0.026951,0.050127,0.004245,0.017097,0.000666,0.005005,0.006346,0.012095,0.000748,0.051165,0.020121,0.042052,0.137853,0.020606,0.014471,0.457085,0.006184,0.066746,0.921162,0.684280,0.468325,0.357595,0.124911,0.264370,0.275308,0.228931,0.117871,0.184962,0.198226,0.299989,0.186810,0.007352,0.001287,0.098202,0.018820,0.063279,0.003482,0.010980,0.000610,0.004389,0.003532,0.004646,0.000560,0.012763,511_interviewer_train
0.071965,0.022230,3.174018,0.147106,0.174875,0.577038,0.009967,0.105000,-24.408055,2.616751,-0.642489,-0.092455,-0.209541,-0.014239,-0.068970,-0.135521,-0.309849,0.022244,-0.210252,0.065972,-0.140150,0.030137,0.007082,0.068913,0.014941,0.012553,0.011697,0.036319,0.003323,0.007329,0.009266,0.047019,0.008502,0.026514,0.010833,0.022275,0.032606,0.029880,0.044614,0.192418,0.007171,0.031557,1.769278,0.568247,0.623685,0.241638,0.209733,0.370773,0.284776,0.214575,0.165529,0.112050,0.188309,0.149394,0.216540,0.020509,0.009767,0.047792,0.008072,0.009553,0.007501,0.026589,0.001685,0.003231,0.007701,0.035993,0.010279,0.009312,511_interviewer_train
0.050957,0.110835,3.184821,0.138267,0.165797,0.680558,0.010470,0.102500,-23.173494,2.477931,-0.809032,0.751703,-0.165721,-0.182678,-0.218655,-0.230212,0.077398,-0.250931,-0.542762,-0.426385,-0.524201,0.019589,0.022611,0.162080,0.021333,0.005415,0.002069,0.007869,0.001262,0.004061,0.005516,0.009415,0.002357,0.046833,0.022909,0.047531,0.386976,0.029534,0.030109,0.425879,0.006541,0.045679,1.520993,0.793328,0.805248,0.407889,0.363557,0.245220,0.187824,0.234865,0.222779,0.250225,0.251622,0.249916,0.264649,0.020148,0.015642,0.087231,0.025313,0.005912,0.002079,0.015773,0.001137,0.006994,0.008583,0.018723,0.005603,0.020725,511_interviewer_train
